dataset,period_id,edge_idx,fallback_rate_cents_per_m,dt_sec,odo_delta_m,cell_idx,zone_id,zone_rate_cents_per_m,exact_fee_cents,fallback_fee_cents,fallback_charged_distance_m,speed_bound_slack_m,honest_outage,strategic_declared_outage
rome,rome:60:243-0-s91:p1,11,4,61,15,1514,100,10,150,8052,2013,1998,True,False
rome,rome:60:243-0-s91:p1,12,4,60,12,1514,100,10,120,7920,1980,1968,False,False
rome,rome:60:243-0-s91:p1,13,4,59,10,1514,100,10,100,7788,1947,1937,False,False
rome,rome:60:243-0-s91:p1,14,4,60,20,1514,100,10,200,7920,1980,1960,False,False
rome,rome:60:243-0-s91:p1,15,4,60,22,1514,100,10,220,7920,1980,1958,False,False
rome,rome:60:243-0-s91:p1,16,4,60,22,1514,100,10,220,7920,1980,1958,False,False
rome,rome:60:243-0-s91:p1,17,4,62,13,1514,100,10,130,8184,2046,2033,True,False
rome,rome:60:243-0-s91:p1,18,4,58,9,1514,100,10,90,7656,1914,1905,False,False
rome,rome:60:243-0-s91:p1,19,4,61,3,1514,100,10,30,8052,2013,2010,True,False
rome,rome:60:243-0-s91:p1,20,4,60,6,1514,100,10,60,7920,1980,1974,False,False
rome,rome:60:243-0-s91:p1,21,4,59,2,1514,100,10,20,7788,1947,1945,False,False
rome,rome:60:243-0-s91:p1,22,4,60,16,1514,100,10,160,7920,1980,1964,False,False
rome,rome:60:243-0-s91:p1,23,4,60,15,1514,100,10,150,7920,1980,1965,False,False
rome,rome:60:243-0-s94:p0,0,4,59,136,1011,120,12,1632,7788,1947,1811,False,False
rome,rome:60:243-0-s94:p0,1,4,60,342,1112,120,12,4104,7920,1980,1638,False,False
rome,rome:60:243-0-s94:p0,2,4,60,134,1313,100,10,1340,7920,1980,1846,False,False
rome,rome:60:243-0-s94:p0,3,4,60,113,1413,100,10,1130,7920,1980,1867,False,False
rome,rome:60:243-0-s94:p0,4,4,61,9,1514,100,10,90,8052,2013,2004,True,False
rome,rome:60:243-0-s94:p0,5,4,59,0,1514,100,10,0,7788,1947,1947,False,False
rome,rome:60:243-0-s94:p0,6,4,60,0,1514,100,10,0,7920,1980,1980,False,False
rome,rome:60:243-0-s94:p0,7,4,60,4,1514,100,10,40,7920,1980,1976,False,False
rome,rome:60:243-0-s94:p0,8,4,60,0,1514,100,10,0,7920,1980,1980,False,False
rome,rome:60:243-0-s94:p0,9,4,61,16,1514,100,10,160,8052,2013,1997,True,False
rome,rome:60:243-0-s94:p0,10,4,59,0,1514,100,10,0,7788,1947,1947,False,False
rome,rome:60:243-0-s94:p0,11,4,60,0,1514,100,10,0,7920,1980,1980,False,False
rome,rome:60:243-0-s94:p0,12,4,60,3,1514,100,10,30,7920,1980,1977,False,False
rome,rome:60:243-0-s94:p0,13,4,60,0,1514,100,10,0,7920,1980,1980,False,False
rome,rome:60:243-0-s94:p0,14,4,60,3,1514,100,10,30,7920,1980,1977,False,False
rome,rome:60:243-0-s94:p0,15,4,60,1,1514,100,10,10,7920,1980,1979,False,False
rome,rome:60:243-0-s94:p0,16,4,62,2,1514,100,10,20,8184,2046,2044,True,False
rome,rome:60:243-0-s94:p0,17,4,58,2,1514,100,10,20,7656,1914,1912,False,False
rome,rome:60:243-0-s94:p0,18,4,60,2,1514,100,10,20,7920,1980,1978,False,False
rome,rome:60:243-0-s94:p0,19,4,60,4,1514,100,10,40,7920,1980,1976,False,False
rome,rome:60:243-0-s94:p0,20,4,60,5,1514,100,10,50,7920,1980,1975,False,False
rome,rome:60:243-0-s94:p0,21,4,60,2,1514,100,10,20,7920,1980,1978,False,False
rome,rome:60:243-0-s94:p0,22,4,60,1,1514,100,10,10,7920,1980,1979,False,False
rome,rome:60:243-0-s94:p0,23,4,60,1,1514,100,10,10,7920,1980,1979,False,False
rome,rome:60:249-0-s139:p0,0,4,50,293,1410,100,10,2930,6600,1650,1357,False,False
rome,rome:60:249-0-s139:p0,1,4,60,409,1209,120,12,4908,7920,1980,1571,False,False
rome,rome:60:249-0-s139:p0,2,4,61,183,1507,120,12,2196,8052,2013,1830,True,False
rome,rome:60:249-0-s139:p0,3,4,59,0,1407,120,12,0,7788,1947,1947,False,False
rome,rome:60:249-0-s139:p0,4,4,61,0,1407,120,12,0,8052,2013,2013,True,False
rome,rome:60:249-0-s139:p0,5,4,59,11,1407,120,12,132,7788,1947,1936,False,False
rome,rome:60:249-0-s139:p0,6,4,61,1,1407,120,12,12,8052,2013,2012,True,False
rome,rome:60:249-0-s139:p0,7,4,59,5,1406,120,12,60,7788,1947,1942,False,False
rome,rome:60:249-0-s139:p0,8,4,60,4,1406,120,12,48,7920,1980,1976,False,False
rome,rome:60:249-0-s139:p0,9,4,61,8,1406,120,12,96,8052,2013,2005,True,False
rome,rome:60:249-0-s139:p0,10,4,59,0,1406,120,12,0,7788,1947,1947,False,False
rome,rome:60:249-0-s139:p0,11,4,60,7,1406,120,12,84,7920,1980,1973,False,False
rome,rome:60:249-0-s139:p0,12,4,60,14,1406,120,12,168,7920,1980,1966,False,False
rome,rome:60:249-0-s139:p0,13,4,60,4,1406,120,12,48,7920,1980,1976,False,False
rome,rome:60:249-0-s139:p0,14,4,60,0,1406,120,12,0,7920,1980,1980,False,False
rome,rome:60:249-0-s139:p0,15,4,60,58,1406,120,12,696,7920,1980,1922,False,False
rome,rome:60:249-0-s139:p0,16,4,60,141,1406,120,12,1692,7920,1980,1839,False,False
rome,rome:60:249-0-s139:p0,17,4,61,129,1206,120,12,1548,8052,2013,1884,True,False
rome,rome:60:249-0-s139:p0,18,4,59,147,1205,120,12,1764,7788,1947,1800,False,False
rome,rome:60:249-0-s139:p0,19,4,60,241,1103,100,10,2410,7920,1980,1739,False,False
rome,rome:60:249-0-s139:p0,20,4,60,155,1003,100,10,1550,7920,1980,1825,False,False
rome,rome:60:249-0-s139:p0,21,4,60,339,903,100,10,3390,7920,1980,1641,False,False
rome,rome:60:249-0-s139:p0,22,4,60,279,705,120,12,3348,7920,1980,1701,False,False
rome,rome:60:249-0-s139:p0,23,4,60,163,506,120,12,1956,7920,1980,1817,False,False
rome,rome:60:254-0-s329:p0,0,4,44,349,1510,100,10,3490,5808,1452,1103,False,False
rome,rome:60:254-0-s329:p0,1,4,61,109,1412,100,10,1090,8052,2013,1904,True,False
rome,rome:60:254-0-s329:p0,2,4,59,26,1413,100,10,260,7788,1947,1921,False,False
rome,rome:60:254-0-s329:p0,3,4,60,7,1513,100,10,70,7920,1980,1973,False,False
rome,rome:60:254-0-s329:p0,4,4,60,0,1513,100,10,0,7920,1980,1980,False,False
rome,rome:60:254-0-s329:p0,5,4,60,13,1513,100,10,130,7920,1980,1967,False,False
rome,rome:60:254-0-s329:p0,6,4,60,2,1413,100,10,20,7920,1980,1978,False,False
rome,rome:60:254-0-s329:p0,7,4,60,17,1413,100,10,170,7920,1980,1963,False,False
rome,rome:60:254-0-s329:p0,8,4,74,50,1413,100,10,500,9768,2442,2392,True,False
rome,rome:60:254-0-s329:p0,9,4,47,90,1413,100,10,900,6204,1551,1461,False,False
rome,rome:60:254-0-s329:p0,10,4,74,4,1514,100,10,40,9768,2442,2438,True,False
rome,rome:60:254-0-s329:p0,11,4,45,0,1514,100,10,0,5940,1485,1485,False,False
rome,rome:60:254-0-s329:p0,12,4,99,9,1514,100,10,90,13068,3267,3258,True,False
rome,rome:60:254-0-s329:p0,13,4,23,11,1514,100,10,110,3036,759,748,False,False
rome,rome:60:254-0-s329:p0,14,4,61,29,1514,100,10,290,8052,2013,1984,True,False
rome,rome:60:254-0-s329:p0,15,4,59,9,1514,100,10,90,7788,1947,1938,False,False
rome,rome:60:254-0-s329:p0,16,4,61,11,1514,100,10,110,8052,2013,2002,True,False
rome,rome:60:254-0-s329:p0,17,4,59,0,1514,100,10,0,7788,1947,1947,False,False
rome,rome:60:254-0-s329:p0,18,4,60,11,1514,100,10,110,7920,1980,1969,False,False
rome,rome:60:254-0-s329:p0,19,4,60,8,1514,100,10,80,7920,1980,1972,False,False
rome,rome:60:254-0-s329:p0,20,4,60,9,1514,100,10,90,7920,1980,1971,False,False
rome,rome:60:254-0-s329:p0,21,4,61,2,1514,100,10,20,8052,2013,2011,True,False
rome,rome:60:254-0-s329:p0,22,4,59,1,1513,100,10,10,7788,1947,1946,False,False
rome,rome:60:254-0-s329:p0,23,4,60,0,1513,100,10,0,7920,1980,1980,False,False
rome,rome:60:256-0-s375:p0,0,4,62,80,107,120,12,960,8184,2046,1966,True,False
rome,rome:60:256-0-s375:p0,1,4,59,16,108,120,12,192,7788,1947,1931,False,False
rome,rome:60:256-0-s375:p0,2,4,59,25,208,120,12,300,7788,1947,1922,False,False
rome,rome:60:256-0-s375:p0,3,4,61,0,208,120,12,0,8052,2013,2013,True,False
rome,rome:60:256-0-s375:p0,4,4,59,0,208,120,12,0,7788,1947,1947,False,False
rome,rome:60:256-0-s375:p0,5,4,60,19,208,120,12,228,7920,1980,1961,False,False
rome,rome:60:256-0-s375:p0,6,4,60,12,208,120,12,144,7920,1980,1968,False,False
rome,rome:60:256-0-s375:p0,7,4,60,15,208,120,12,180,7920,1980,1965,False,False
rome,rome:60:256-0-s375:p0,8,4,60,21,208,120,12,252,7920,1980,1959,False,False
rome,rome:60:256-0-s375:p0,9,4,60,32,208,120,12,384,7920,1980,1948,False,False
rome,rome:60:256-0-s375:p0,10,4,60,13,208,120,12,156,7920,1980,1967,False,False
rome,rome:60:256-0-s375:p0,11,4,61,0,207,120,12,0,8052,2013,2013,True,False
rome,rome:60:256-0-s375:p0,12,4,59,0,207,120,12,0,7788,1947,1947,False,False
rome,rome:60:256-0-s375:p0,13,4,61,7,207,120,12,84,8052,2013,2006,True,False
rome,rome:60:256-0-s375:p0,14,4,59,17,208,120,12,204,7788,1947,1930,False,False
rome,rome:60:256-0-s375:p0,15,4,60,21,207,120,12,252,7920,1980,1959,False,False
rome,rome:60:256-0-s375:p0,16,4,60,24,208,120,12,288,7920,1980,1956,False,False
rome,rome:60:256-0-s375:p0,17,4,60,16,207,120,12,192,7920,1980,1964,False,False
rome,rome:60:256-0-s375:p0,18,4,61,21,207,120,12,252,8052,2013,1992,True,False
rome,rome:60:256-0-s375:p0,19,4,60,21,207,120,12,252,7920,1980,1959,False,False
rome,rome:60:256-0-s375:p0,20,4,60,29,207,120,12,348,7920,1980,1951,False,False
rome,rome:60:256-0-s375:p0,21,4,59,15,207,120,12,180,7788,1947,1932,False,False
rome,rome:60:256-0-s375:p0,22,4,60,102,207,120,12,1224,7920,1980,1878,False,False
rome,rome:60:256-0-s375:p0,23,4,60,239,307,120,12,2868,7920,1980,1741,False,False
rome,rome:60:257-0-s123:p0,0,4,59,377,204,120,12,4524,7788,1947,1570,False,False
rome,rome:60:257-0-s123:p0,1,4,61,47,300,120,12,564,8052,2013,1966,True,False
rome,rome:60:257-0-s123:p0,2,4,59,166,201,120,12,1992,7788,1947,1781,False,False
rome,rome:60:257-0-s123:p0,3,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:257-0-s123:p0,4,4,59,0,202,120,12,0,7788,1947,1947,False,False
rome,rome:60:257-0-s123:p0,5,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:257-0-s123:p0,6,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:257-0-s123:p0,7,4,59,12,202,120,12,144,7788,1947,1935,False,False
rome,rome:60:257-0-s123:p0,8,4,61,10,202,120,12,120,8052,2013,2003,True,False
rome,rome:60:257-0-s123:p0,9,4,58,1,202,120,12,12,7656,1914,1913,False,False
rome,rome:60:257-0-s123:p0,10,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:257-0-s123:p0,11,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p0,12,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p0,13,4,60,16,202,120,12,192,7920,1980,1964,False,False
rome,rome:60:257-0-s123:p0,14,4,60,11,202,120,12,132,7920,1980,1969,False,False
rome,rome:60:257-0-s123:p0,15,4,60,12,202,120,12,144,7920,1980,1968,False,False
rome,rome:60:257-0-s123:p0,16,4,60,0,203,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p0,17,4,60,0,203,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p0,18,4,60,0,203,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p0,19,4,60,0,203,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p0,20,4,60,0,203,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p0,21,4,60,0,203,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p0,22,4,59,0,203,120,12,0,7788,1947,1947,False,False
rome,rome:60:257-0-s123:p0,23,4,60,0,203,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p1,0,4,61,0,203,120,12,0,8052,2013,2013,True,False
rome,rome:60:257-0-s123:p1,1,4,61,29,203,120,12,348,8052,2013,1984,True,False
rome,rome:60:257-0-s123:p1,2,4,59,13,202,120,12,156,7788,1947,1934,False,False
rome,rome:60:257-0-s123:p1,3,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p1,4,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:257-0-s123:p1,5,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:257-0-s123:p1,6,4,59,7,202,120,12,84,7788,1947,1940,False,False
rome,rome:60:257-0-s123:p1,7,4,59,7,202,120,12,84,7788,1947,1940,False,False
rome,rome:60:257-0-s123:p1,8,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:257-0-s123:p1,9,4,59,12,202,120,12,144,7788,1947,1935,False,False
rome,rome:60:257-0-s123:p1,10,4,61,27,202,120,12,324,8052,2013,1986,True,False
rome,rome:60:257-0-s123:p1,11,4,60,32,202,120,12,384,7920,1980,1948,False,False
rome,rome:60:257-0-s123:p1,12,4,59,15,202,120,12,180,7788,1947,1932,False,False
rome,rome:60:257-0-s123:p1,13,4,61,9,202,120,12,108,8052,2013,2004,True,False
rome,rome:60:257-0-s123:p1,14,4,59,30,202,120,12,360,7788,1947,1917,False,False
rome,rome:60:257-0-s123:p1,15,4,61,29,202,120,12,348,8052,2013,1984,True,False
rome,rome:60:257-0-s123:p1,16,4,61,31,202,120,12,372,8052,2013,1982,True,False
rome,rome:60:257-0-s123:p1,17,4,59,33,202,120,12,396,7788,1947,1914,False,False
rome,rome:60:257-0-s123:p1,18,4,60,30,202,120,12,360,7920,1980,1950,False,False
rome,rome:60:257-0-s123:p1,19,4,129,2,203,120,12,24,17028,4257,4255,True,False
rome,rome:60:257-0-s123:p1,20,4,51,0,203,120,12,0,6732,1683,1683,False,False
rome,rome:60:257-0-s123:p1,21,4,60,32,203,120,12,384,7920,1980,1948,False,False
rome,rome:60:257-0-s123:p1,22,4,60,450,203,120,12,5400,7920,1980,1530,False,False
rome,rome:60:257-0-s123:p1,23,4,60,516,107,120,12,6192,7920,1980,1464,False,False
rome,rome:60:260-0-s115:p0,0,4,58,352,1112,120,12,4224,7656,1914,1562,False,False
rome,rome:60:260-0-s115:p0,1,4,62,180,1313,100,10,1800,8184,2046,1866,True,False
rome,rome:60:260-0-s115:p0,2,4,58,35,1514,100,10,350,7656,1914,1879,False,False
rome,rome:60:260-0-s115:p0,3,4,62,0,1514,100,10,0,8184,2046,2046,True,False
rome,rome:60:260-0-s115:p0,4,4,58,0,1514,100,10,0,7656,1914,1914,False,False
rome,rome:60:260-0-s115:p0,5,4,60,0,1514,100,10,0,7920,1980,1980,False,False
rome,rome:60:260-0-s115:p0,6,4,61,3,1514,100,10,30,8052,2013,2010,True,False
rome,rome:60:260-0-s115:p0,7,4,59,3,1514,100,10,30,7788,1947,1944,False,False
rome,rome:60:260-0-s115:p0,8,4,61,0,1514,100,10,0,8052,2013,2013,True,False
rome,rome:60:260-0-s115:p0,9,4,59,0,1514,100,10,0,7788,1947,1947,False,False
rome,rome:60:260-0-s115:p0,10,4,62,0,1514,100,10,0,8184,2046,2046,True,False
rome,rome:60:260-0-s115:p0,11,4,58,0,1514,100,10,0,7656,1914,1914,False,False
rome,rome:60:260-0-s115:p0,12,4,62,11,1514,100,10,110,8184,2046,2035,True,False
rome,rome:60:260-0-s115:p0,13,4,58,0,1514,100,10,0,7656,1914,1914,False,False
rome,rome:60:260-0-s115:p0,14,4,62,0,1514,100,10,0,8184,2046,2046,True,False
rome,rome:60:260-0-s115:p0,15,4,58,0,1514,100,10,0,7656,1914,1914,False,False
rome,rome:60:260-0-s115:p0,16,4,60,0,1514,100,10,0,7920,1980,1980,False,False
rome,rome:60:260-0-s115:p0,17,4,61,15,1514,100,10,150,8052,2013,1998,True,False
rome,rome:60:260-0-s115:p0,18,4,59,99,1513,100,10,990,7788,1947,1848,False,False
rome,rome:60:260-0-s115:p0,19,4,60,641,1414,100,10,6410,7920,1980,1339,False,False
rome,rome:60:260-0-s115:p0,20,4,60,679,1015,120,12,8148,7920,1980,1301,False,True
rome,rome:60:260-0-s115:p0,21,4,60,190,610,120,12,2280,7920,1980,1790,False,False
rome,rome:60:260-0-s115:p0,22,4,60,22,709,120,12,264,7920,1980,1958,False,False
rome,rome:60:260-0-s115:p0,23,4,63,161,708,120,12,1932,8316,2079,1918,True,False
rome,rome:60:260-0-s14:p0,0,4,60,233,300,120,12,2796,7920,1980,1747,False,False
rome,rome:60:260-0-s14:p0,1,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:260-0-s14:p0,2,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,3,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,4,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,5,4,59,5,202,120,12,60,7788,1947,1942,False,False
rome,rome:60:260-0-s14:p0,6,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:260-0-s14:p0,7,4,59,0,202,120,12,0,7788,1947,1947,False,False
rome,rome:60:260-0-s14:p0,8,4,61,7,202,120,12,84,8052,2013,2006,True,False
rome,rome:60:260-0-s14:p0,9,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,10,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,11,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,12,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,13,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,14,4,60,5,202,120,12,60,7920,1980,1975,False,False
rome,rome:60:260-0-s14:p0,15,4,60,9,202,120,12,108,7920,1980,1971,False,False
rome,rome:60:260-0-s14:p0,16,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,17,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,18,4,59,0,202,120,12,0,7788,1947,1947,False,False
rome,rome:60:260-0-s14:p0,19,4,61,0,202,120,12,0,8052,2013,2013,True,False
rome,rome:60:260-0-s14:p0,20,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,21,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:260-0-s14:p0,22,4,59,14,202,120,12,168,7788,1947,1933,False,False
rome,rome:60:260-0-s14:p0,23,4,61,178,202,120,12,2136,8052,2013,1835,True,False
rome,rome:60:268-0-s46:p0,0,4,60,287,311,120,12,3444,7920,1980,1693,False,False
rome,rome:60:268-0-s46:p0,1,4,59,135,309,120,12,1620,7788,1947,1812,False,False
rome,rome:60:268-0-s46:p0,2,4,60,0,308,120,12,0,7920,1980,1980,False,False
rome,rome:60:268-0-s46:p0,3,4,61,0,308,120,12,0,8052,2013,2013,True,False
rome,rome:60:268-0-s46:p0,4,4,59,9,308,120,12,108,7788,1947,1938,False,False
rome,rome:60:268-0-s46:p0,5,4,60,0,307,120,12,0,7920,1980,1980,False,False
rome,rome:60:268-0-s46:p0,6,4,60,34,307,120,12,408,7920,1980,1946,False,False
rome,rome:60:268-0-s46:p0,7,4,60,270,307,120,12,3240,7920,1980,1710,False,False
rome,rome:60:268-0-s46:p0,8,4,60,10,208,120,12,120,7920,1980,1970,False,False
rome,rome:60:268-0-s46:p0,9,4,60,0,208,120,12,0,7920,1980,1980,False,False
rome,rome:60:268-0-s46:p0,10,4,62,0,208,120,12,0,8184,2046,2046,True,False
rome,rome:60:268-0-s46:p0,11,4,58,0,208,120,12,0,7656,1914,1914,False,False
rome,rome:60:268-0-s46:p0,12,4,60,12,208,120,12,144,7920,1980,1968,False,False
rome,rome:60:268-0-s46:p0,13,4,60,18,208,120,12,216,7920,1980,1962,False,False
rome,rome:60:268-0-s46:p0,14,4,61,0,208,120,12,0,8052,2013,2013,True,False
rome,rome:60:268-0-s46:p0,15,4,59,0,208,120,12,0,7788,1947,1947,False,False
rome,rome:60:268-0-s46:p0,16,4,61,2,208,120,12,24,8052,2013,2011,True,False
rome,rome:60:268-0-s46:p0,17,4,59,0,208,120,12,0,7788,1947,1947,False,False
rome,rome:60:268-0-s46:p0,18,4,60,3,208,120,12,36,7920,1980,1977,False,False
rome,rome:60:268-0-s46:p0,19,4,60,0,208,120,12,0,7920,1980,1980,False,False
rome,rome:60:268-0-s46:p0,20,4,61,0,208,120,12,0,8052,2013,2013,True,False
rome,rome:60:268-0-s46:p0,21,4,60,0,208,120,12,0,7920,1980,1980,False,False
rome,rome:60:268-0-s46:p0,22,4,59,0,208,120,12,0,7788,1947,1947,False,False
rome,rome:60:268-0-s46:p0,23,4,60,0,208,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s235:p0,0,4,58,286,300,120,12,3432,7656,1914,1628,False,False
rome,rome:60:275-0-s235:p0,1,4,62,53,203,120,12,636,8184,2046,1993,True,False
rome,rome:60:275-0-s235:p0,2,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s235:p0,3,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s235:p0,4,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s235:p0,5,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s235:p0,6,4,60,22,202,120,12,264,7920,1980,1958,False,False
rome,rome:60:275-0-s235:p0,7,4,60,23,202,120,12,276,7920,1980,1957,False,False
rome,rome:60:275-0-s235:p0,8,4,60,7,202,120,12,84,7920,1980,1973,False,False
rome,rome:60:275-0-s235:p0,9,4,60,16,202,120,12,192,7920,1980,1964,False,False
rome,rome:60:275-0-s235:p0,10,4,60,13,202,120,12,156,7920,1980,1967,False,False
rome,rome:60:275-0-s235:p0,11,4,60,24,202,120,12,288,7920,1980,1956,False,False
rome,rome:60:275-0-s235:p0,12,4,60,6,202,120,12,72,7920,1980,1974,False,False
rome,rome:60:275-0-s235:p0,13,4,60,35,202,120,12,420,7920,1980,1945,False,False
rome,rome:60:275-0-s235:p0,14,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s235:p0,15,4,60,10,202,120,12,120,7920,1980,1970,False,False
rome,rome:60:275-0-s235:p0,16,4,60,8,202,120,12,96,7920,1980,1972,False,False
rome,rome:60:275-0-s235:p0,17,4,60,17,202,120,12,204,7920,1980,1963,False,False
rome,rome:60:275-0-s235:p0,18,4,60,35,202,120,12,420,7920,1980,1945,False,False
rome,rome:60:275-0-s235:p0,19,4,60,10,202,120,12,120,7920,1980,1970,False,False
rome,rome:60:275-0-s235:p0,20,4,60,13,202,120,12,156,7920,1980,1967,False,False
rome,rome:60:275-0-s235:p0,21,4,60,21,202,120,12,252,7920,1980,1959,False,False
rome,rome:60:275-0-s235:p0,22,4,60,27,202,120,12,324,7920,1980,1953,False,False
rome,rome:60:275-0-s235:p0,23,4,60,39,202,120,12,468,7920,1980,1941,False,False
rome,rome:60:275-0-s290:p0,0,4,60,19,202,120,12,228,7920,1980,1961,False,False
rome,rome:60:275-0-s290:p0,1,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s290:p0,2,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s290:p0,3,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s290:p0,4,4,60,2,202,120,12,24,7920,1980,1978,False,False
rome,rome:60:275-0-s290:p0,5,4,60,7,202,120,12,84,7920,1980,1973,False,False
rome,rome:60:275-0-s290:p0,6,4,60,12,202,120,12,144,7920,1980,1968,False,False
rome,rome:60:275-0-s290:p0,7,4,60,21,202,120,12,252,7920,1980,1959,False,False
rome,rome:60:275-0-s290:p0,8,4,60,36,202,120,12,432,7920,1980,1944,False,False
rome,rome:60:275-0-s290:p0,9,4,60,29,202,120,12,348,7920,1980,1951,False,False
rome,rome:60:275-0-s290:p0,10,4,60,20,202,120,12,240,7920,1980,1960,False,False
rome,rome:60:275-0-s290:p0,11,4,60,7,202,120,12,84,7920,1980,1973,False,False
rome,rome:60:275-0-s290:p0,12,4,60,11,202,120,12,132,7920,1980,1969,False,False
rome,rome:60:275-0-s290:p0,13,4,60,20,202,120,12,240,7920,1980,1960,False,False
rome,rome:60:275-0-s290:p0,14,4,60,12,202,120,12,144,7920,1980,1968,False,False
rome,rome:60:275-0-s290:p0,15,4,60,26,202,120,12,312,7920,1980,1954,False,False
rome,rome:60:275-0-s290:p0,16,4,60,30,202,120,12,360,7920,1980,1950,False,False
rome,rome:60:275-0-s290:p0,17,4,60,11,202,120,12,132,7920,1980,1969,False,False
rome,rome:60:275-0-s290:p0,18,4,60,14,202,120,12,168,7920,1980,1966,False,False
rome,rome:60:275-0-s290:p0,19,4,60,10,202,120,12,120,7920,1980,1970,False,False
rome,rome:60:275-0-s290:p0,20,4,61,24,202,120,12,288,8052,2013,1989,True,False
rome,rome:60:275-0-s290:p0,21,4,59,26,202,120,12,312,7788,1947,1921,False,False
rome,rome:60:275-0-s290:p0,22,4,60,17,202,120,12,204,7920,1980,1963,False,False
rome,rome:60:275-0-s290:p0,23,4,60,21,202,120,12,252,7920,1980,1959,False,False
rome,rome:60:275-0-s376:p0,0,4,59,443,102,120,12,5316,7788,1947,1504,False,False
rome,rome:60:275-0-s376:p0,1,4,60,293,7,100,10,2930,7920,1980,1687,False,False
rome,rome:60:275-0-s376:p0,2,4,60,455,307,120,12,5460,7920,1980,1525,False,False
rome,rome:60:275-0-s376:p0,3,4,60,57,202,120,12,684,7920,1980,1923,False,False
rome,rome:60:275-0-s376:p0,4,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s376:p0,5,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s376:p0,6,4,58,0,202,120,12,0,7656,1914,1914,False,False
rome,rome:60:275-0-s376:p0,7,4,60,0,202,120,12,0,7920,1980,1980,False,False
rome,rome:60:275-0-s376:p0,8,4,60,23,202,120,12,276,7920,1980,1957,False,False
rome,rome:60:275-0-s376:p0,9,4,60,36,202,120,12,432,7920,1980,1944,False,False
rome,rome:60:275-0-s376:p0,10,4,60,46,202,120,12,552,7920,1980,1934,False,False
rome,rome:60:275-0-s376:p0,11,4,60,22,202,120,12,264,7920,1980,1958,False,False
rome,rome:60:275-0-s376:p0,12,4,60,28,202,120,12,336,7920,1980,1952,False,False
rome,rome:60:275-0-s376:p0,13,4,60,18,202,120,12,216,7920,1980,1962,False,False
rome,rome:60:275-0-s376:p0,14,4,60,41,202,120,12,492,7920,1980,1939,False,False
